"Genotype","Replicate","AUDPC_Total","AUDPC_Necrosis","AUDPC_Chlorosis","Max_Total_Severity","Days_Measured"
"1","1",9.4266,2.59135,6.83525,2.8109,4
"1","2",89.54695,11.3622,78.18475,58.8437,4
"1","3",8.3948,3.92705,4.46775,3.6951,4
"10","1",115.4532,56.8002,58.653,52.2763,4
"10","2",4.01605,1.3641,2.65195,2.0785,4
"10","3",2.6045,0.7365,1.868,0.9813,4
"100","1",53.93015,15.2668,38.66335,25.0757,4
"100","2",119.3562,1.72445,117.63175,77.0395,4
"100","3",186.80345,121.64635,65.1571,71.3943,4
"101","1",29.38605,23.90255,5.4835,8.0097,4
"101","2",3.30615,0.8251,2.48105,1.4737,4
"101","3",0.9896,0.0876,0.902,0.5598,4
"102","1",556.8233,495.4351,61.3882,99.8922,4
"102","2",353.1737,319.4073,33.7664,99.9966,4
"102","3",1.67575,0.3385,1.33725,0.7272,4
"103","1",155.6663,69.9533,85.713,54.5507,4
"103","2",398.31905,394.4618,3.85725,99.9881,4
"104","1",5.6539,3.55295,2.10095,3.3769,4
"104","2",10.40195,3.1525,7.24945,6.0014,4
"104","3",1.45635,0.1879,1.26845,1.0183,4
"105","1",0.89755,0.0702,0.82735,0.1665,4
"105","2",18.09785,2.99485,15.103,11.2272,4
"105","3",14.30385,4.7111,9.59275,8.7388,4
"106","1",3.4141,1.19865,2.21545,1.8852,4
"106","2",1.2343,0.0415,1.1928,0.6286,4
"106","3",97.11315,57.74125,39.3719,55.2715,4
"107","1",145.25895,52.52055,92.7384,87.9357,4
"107","2",5.4206,0.73225,4.68835,3.0751,4
"107","3",1.8221,0.25735,1.56475,0.4328,4
"108","1",286.9472,232.8945,54.0527,85.5845,4
"108","2",3.17635,0.7406,2.43575,1.1525,4
"108","3",23.67345,15.0482,8.62525,13.5762,4
"109","2",7.1826,1.9646,5.218,3.3293,4
"109","3",12.47085,4.63345,7.8374,4.6045,4
"11","1",3.43035,0.84545,2.5849,1.4414,4
"11","2",20.75805,3.7522,17.00585,12.9353,4
"11","3",25.9692,12.65095,13.31825,16.2016,4
"110","1",125.49055,98.05825,27.4323,41.3337,4
"110","2",332.57575,288.9084,43.66735,99.9654,4
"110","3",565.3394,456.6982,108.6412,99.9772,4
"111","1",248.8269,202.2899,46.537,61.8168,4
"111","2",2.0759,0.5043,1.5716,0.5132,4
"111","3",0.57995,0.20225,0.3777,0.2237,4
"112","1",191.45795,129.0905,62.36745,99.4583,4
"112","2",38.30325,19.8731,18.43015,25.4222,4
"113","1",1.3203,0.04805,1.27225,0.5201,4
"113","2",22.5624,1.8407,20.7217,14.0873,4
"113","3",578.8893,484.4146,94.4747,98.786,4
"114","2",8.65195,3.0772,5.57475,4.9239,4
"115","1",7.90585,1.49135,6.4145,2.8424,4
"115","2",48.588,8.4414,40.1466,31.3655,4
"115","3",127.2487,69.0832,58.1655,54.0926,4
"116","2",4.8599,0.75145,4.10845,2.0318,4
"116","3",2.24705,0.39655,1.8505,0.4169,4
"117","1",2.04715,0.3412,1.70595,0.9435,4
"117","2",7.79195,0.37965,7.4123,4.2086,4
"118","1",3.49085,0.4701,3.02075,1.548,4
"118","2",65.7411,10.27135,55.46975,41.7939,4
"118","3",11.15605,5.74005,5.416,4.4709,4
"119","1",0.81915,0.1158,0.70335,0.2197,4
"119","2",3.05985,1.0504,2.00945,0.7836,4
"119","3",9.02885,1.96375,7.0651,5.6548,4
"12","1",0.5754,0.07115,0.50425,0.193,4
"12","2",7.57245,1.01205,6.5604,3.7328,4
"12","3",63.1111,22.9625,40.1486,29.4721,4
"120","1",2.03245,0.2925,1.73995,0.7787,4
"120","2",152.2512,99.649,52.6022,99.9827,4
"121","1",9.5327,1.0455,8.4872,4.1878,4
"121","2",3.6305,0.3475,3.283,1.4064,4
"121","3",17.38225,5.66905,11.7132,10.1457,4
"122","1",27.27735,3.01165,24.2657,15.5487,4
"122","2",151.6427,45.91235,105.73035,94.4728,4
"122","3",64.31245,32.57515,31.7373,41.6008,4
"123","2",123.0431,5.8019,117.2412,80.0088,4
"123","3",116.25105,79.50585,36.7452,67.0156,4
"124","2",18.5185,3.60325,14.91525,8.9625,4
"124","3",11.47985,1.09885,10.381,2.0367,4
"125","1",4.366,0.8155,3.5505,2.2952,4
"125","2",5.4846,0.6994,4.7852,2.4576,4
"125","3",162.3645,122.01465,40.34985,87.6681,4
"126","1",207.0881,118.2091,88.879,78.5918,4
"126","2",277.3337,231.4653,45.8684,99.9691,4
"127","1",50.92495,3.5265,47.39845,30.7168,4
"127","2",35.193,7.7437,27.4493,22.8761,4
"127","3",9.95975,5.5826,4.37715,5.4829,4
"128","1",6.32255,1.62235,4.7002,2.0954,4
"128","2",5.7749,1.3877,4.3872,1.799,4
"128","3",58.982,25.30885,33.67315,38.4188,4
"129","1",6.8686,0.8879,5.9807,2.206,4
"129","2",2.87395,0.27415,2.5998,1.4271,4
"129","3",94.79305,63.75455,31.0385,55.9196,4
"13","1",4.66625,1.07765,3.5886,1.2904,4
"13","2",4.2947,1.2924,3.0023,2.4603,4
"13","3",89.9356,15.62115,74.31445,58.4685,4
"130","1",8.4151,1.12695,7.28815,2.974,4
"130","2",152.03785,26.10175,125.9361,98.6133,4
"130","3",548.4523,230.87455,317.57775,97.416,4
"131","1",13.10165,2.2152,10.88645,4.6435,4
"131","2",24.41555,3.2874,21.12815,11.3822,4
"131","3",16.4845,4.7782,11.7063,8.7701,4
"132","1",115.59775,25.171,90.42675,69.2235,4
"132","2",56.3018,1.13855,55.16325,36.293,4
"132","3",270.64765,138.34875,132.2989,97.5834,4
"133","1",146.06705,79.2536,66.81345,72.9078,4
"133","2",60.60375,22.54615,38.0576,37.8399,4
"133","3",33.21735,23.682,9.53535,20.901,4
"134","1",67.57075,29.5823,37.98845,34.0596,4
"134","3",2.1995,0.51035,1.68915,0.7818,4
"135","1",8.42715,1.1715,7.25565,2.3416,4
"135","2",19.997,8.2728,11.7242,12.9975,4
"135","3",272.1887,187.38085,84.80785,99.694,4
"136","1",306.5388,227.047,79.4918,96.0374,4
"136","2",6.6627,3.57735,3.08535,2.1042,4
"136","3",7.15095,2.08895,5.062,4.6193,4
"137","1",5.4526,2.1103,3.3423,1.8441,4
"137","2",197.20515,152.77995,44.4252,99.9918,4
"137","3",36.32225,10.3107,26.01155,23.5156,4
"138","1",211.8416,153.3527,58.4889,67.9748,4
"138","2",1.62455,0.11575,1.5088,0.9217,4
"138","3",2.9216,0.81,2.1116,0.5853,4
"139","1",186.0938,119.91345,66.18035,81.1444,4
"139","2",14.9792,1.7886,13.1906,8.4414,4
"139","3",474.19685,285.20175,188.9951,99.0292,4
"14","1",5.05435,1.1616,3.89275,2.7398,4
"14","2",3.1014,1.17335,1.92805,0.9676,4
"14","3",2.951,1.0268,1.9242,0.9322,4
"140","1",1.6496,0.7535,0.8961,0.7194,4
"140","2",5.6415,1.9522,3.6893,2.7107,4
"141","1",7.86335,1.90205,5.9613,3.2571,4
"141","2",11.915,3.7187,8.1963,6.4844,4
"141","3",46.0529,27.2933,18.7596,28.8681,4
"142","1",7.8018,2.38065,5.42115,3.578,4
"142","2",7.33105,0.2718,7.05925,4.4734,4
"142","3",58.2186,23.25925,34.95935,35.3495,4
"143","1",96.80075,6.99205,89.8087,60.0242,4
"143","2",62.3067,6.31655,55.99015,41.1965,4
"143","3",11.0792,4.87255,6.20665,5.7486,4
"144","1",3.67195,0.3961,3.27585,1.0366,4
"145","1",46.90965,15.3065,31.60315,28.2507,4
"146","1",1.9672,0.3623,1.6049,0.8774,4
"146","2",210.62725,122.4047,88.22255,98.9317,4
"146","3",185.09715,94.9154,90.18175,95.09,4
"147","1",268.63595,229.94685,38.6891,99.7814,4
"147","2",4.4814,1.6626,2.8188,1.2327,4
"148","1",7.33355,0.99015,6.3434,4.3198,4
"148","2",5.17555,1.56885,3.6067,1.6961,4
"148","3",13.68505,8.79875,4.8863,7.84,4
"149","1",2.9516,0.15315,2.79845,1.3487,4
"149","2",43.3766,3.59245,39.78415,26.841,4
"15","2",144.6738,98.51575,46.15805,96.176,4
"150","1",110.05305,17.0943,92.95875,68.7524,4
"150","2",3.93865,0.9651,2.97355,1.5751,4
"150","3",165.9552,98.24835,67.70685,65.2565,4
"151","1",8.17115,2.0562,6.11495,3.96,4
"151","2",11.0235,3.00425,8.01925,6.7916,4
"151","3",93.0592,24.8566,68.2026,57.8974,4
"152","1",2.58045,0.18325,2.3972,1.0656,4
"152","2",94.2361,1.4375,92.7986,60.4025,4
"152","3",11.9789,1.08955,10.88935,7.4123,4
"153","1",3.4588,0.9016,2.5572,1.7647,4
"153","2",150.99845,56.5957,94.40275,82.9141,4
"153","3",7.61385,3.77255,3.8413,3.0075,4
"154","1",6.10445,0.85495,5.2495,3.2381,4
"154","3",30.4417,3.46005,26.98165,18.9264,4
"155","1",7.43325,2.23415,5.1991,3.7078,4
"155","2",220.2183,145.33495,74.88335,98.548,4
"156","1",2.8829,0.56145,2.32145,0.7641,4
"156","2",56.2086,13.31035,42.89825,31.2834,4
"156","3",12.14805,4.7562,7.39185,6.7596,4
"157","1",2.56845,0.08225,2.4862,1.5373,4
"157","2",40.21635,1.0987,39.11765,25.9579,4
"157","3",1.78005,0.16705,1.613,0.9153,4
"158","1",181.46055,104.96225,76.4983,91.9693,4
"158","2",98.01345,19.6773,78.33615,63.7293,4
"158","3",1.02095,0.54395,0.477,0.5764,4
"159","1",11.5505,0.529,11.0215,7.2079,4
"159","2",39.94575,3.15415,36.7916,24.7196,4
"159","3",36.6317,16.98975,19.64195,23.3044,4
"16","1",0.8781,0.10905,0.76905,0.2541,4
"16","2",14.2057,1.07035,13.13535,8.4778,4
"16","3",41.53655,26.267,15.26955,22.9075,4
"160","1",3.71855,0.6833,3.03525,1.0122,4
"160","2",105.1338,28.89175,76.24205,64.5019,4
"160","3",81.1579,56.70935,24.44855,49.2536,4
"161","1",415.4296,355.5956,59.834,99.6668,4
"161","2",123.2234,29.48,93.7434,80.9726,4
"161","3",25.8413,12.51035,13.33095,14.7088,4
"162","1",6.4618,2.28405,4.17775,2.5022,4
"162","2",1.98015,0.0199,1.96025,0.935,4
"162","3",1.68715,0.15935,1.5278,0.3207,4
"163","1",160.18695,114.00145,46.1855,91.6934,4
"163","2",23.89095,4.05135,19.8396,15.3004,4
"163","3",62.65065,35.1147,27.53595,33.0975,4
"164","1",37.35565,11.95585,25.3998,17.4658,4
"164","2",101.73725,25.597,76.14025,62.2567,4
"164","3",8.641,2.41065,6.23035,5.0072,4
"165","1",378.03795,295.2049,82.83305,94.4314,4
"165","2",13.0432,2.9692,10.074,7.2589,4
"165","3",62.1479,41.02275,21.12515,26.4055,4
"166","1",8.1793,1.3791,6.8002,5.0516,4
"166","2",4.7882,0.32355,4.46465,2.5485,4
"166","3",0.4184,0.0353,0.3831,0.1468,4
"167","1",155.41685,65.66125,89.7556,89.9587,4
"167","2",40.05815,2.72075,37.3374,23.6459,4
"167","3",488.379,279.42475,208.95425,95.7558,4
"168","1",90.5067,25.07025,65.43645,47.2951,4
"168","2",39.67205,1.37165,38.3004,24.8393,4
"168","3",3.31535,0.26045,3.0549,1.224,4
"169","1",2.208,0.2704,1.9376,1.0786,4
"169","2",144.8129,60.10765,84.70525,95.0057,4
"169","3",46.8421,17.75475,29.08735,29.6577,4
"17","1",3.96895,1.78935,2.1796,2.4662,4
"17","2",96.5642,49.1399,47.4243,62.3603,4
"17","3",13.0068,7.23985,5.76695,7.6249,4
"170","1",83.51135,51.34555,32.1658,54.52,4
"170","2",44.28655,9.45605,34.8305,28.3514,4
"171","1",403.6203,308.63335,94.98695,97.8166,4
"171","2",5.2482,2.5449,2.7033,2.3536,4
"171","3",10.07325,8.18635,1.8869,6.215,4
"172","1",137.35855,49.3632,87.99535,72.1692,4
"172","2",0.8731,0.1169,0.7562,0.3701,4
"172","3",17.87705,5.43855,12.4385,11.0769,4
"173","1",66.5458,39.12915,27.41665,33.1638,4
"173","2",7.7715,1.6712,6.1003,4.0813,4
"174","1",5.93675,1.32945,4.6073,3.3293,4
"174","2",365.02225,310.38405,54.6382,99.995,4
"174","3",52.166,24.6454,27.5206,27.2933,4
"175","1",145.4888,45.2402,100.2486,88.7312,4
"175","2",110.45445,39.9829,70.47155,70.6915,4
"175","3",3.219,0.6279,2.5911,1.125,4
"176","1",29.9755,4.3084,25.6671,18.0312,4
"176","2",46.29615,3.17335,43.1228,27.6188,4
"176","3",17.23795,7.23485,10.0031,10.5798,4
"177","1",144.33595,93.23345,51.1025,50.9819,4
"177","2",279.62905,246.83745,32.7916,99.9767,4
"177","3",95.2784,52.8351,42.4433,59.244,4
"178","1",27.9729,11.2839,16.689,13.6264,4
"178","2",13.8237,3.35165,10.47205,8.3825,4
"178","3",29.7925,10.05515,19.73735,18.3719,4
"179","1",409.54315,338.1426,71.40055,95.2778,4
"179","2",23.7882,10.0839,13.7043,14.6125,4
"179","3",179.10495,152.78745,26.3175,99.7392,4
"180","1",441.9935,358.41,83.5835,97.2455,4
"180","2",0.67175,0.0027,0.66905,0.247,4
"180","3",368.9086,240.5964,128.3122,98.6093,4
"181","1",1.856,0.20165,1.65435,1.0995,4
"181","2",1.84805,0.31755,1.5305,0.7841,4
"181","3",9.94325,5.7316,4.21165,6.0864,4
"182","1",35.32515,5.90985,29.4153,21.3436,4
"182","2",1.98325,0.6245,1.35875,1.0896,4
"182","3",53.2126,33.34495,19.86765,24.7738,4
"183","1",5.63985,1.40825,4.2316,1.505,4
"183","2",256.9649,218.5418,38.4231,99.6323,4
"183","3",18.739,5.20165,13.53735,11.1042,4
"184","1",9.70885,1.5787,8.13015,5.4509,4
"184","2",3.7129,0.59555,3.11735,1.6232,4
"184","3",17.29095,6.95315,10.3378,10.9447,4
"185","1",4.89905,1.09825,3.8008,4.1933,4
"185","2",6.84775,2.6352,4.21255,2.4182,4
"185","3",53.337,29.85615,23.48085,30.3722,4
"186","1",9.4353,1.3153,8.12,3.2141,4
"186","2",1.34825,0.02375,1.3245,0.6776,4
"186","3",9.25635,5.36,3.89635,3.967,4
"187","1",5.3961,1.74595,3.65015,2.1682,4
"187","2",63.3565,19.44545,43.91105,37.4389,4
"187","3",11.5096,7.3704,4.1392,7.3316,4
"188","1",2.75765,0.83245,1.9252,1.4015,4
"188","2",2.91785,0.43135,2.4865,1.1098,4
"188","3",93.3019,49.44385,43.85805,55.46,4
"189","1",53.3498,6.7513,46.5985,34.2559,4
"189","2",49.4101,7.5547,41.8554,31.8883,4
"189","3",2.5133,1.6838,0.8295,1.4634,4
"19","2",66.15265,4.0944,62.05825,42.4388,4
"19","3",132.3088,67.4387,64.8701,63.8021,4
"190","1",13.80665,3.839,9.96765,5.3558,4
"190","2",13.84855,0.7143,13.13425,8.6937,4
"190","3",70.91785,46.7306,24.18725,45.738,4
"191","1",153.62635,54.36965,99.2567,95.2274,4
"191","2",2.18655,0.1111,2.07545,1.3134,4
"191","3",11.7009,7.6529,4.048,6.6357,4
"192","1",4.2054,0.616,3.5894,1.9155,4
"192","2",305.50805,255.9296,49.57845,99.9624,4
"193","1",415.19615,354.4622,60.73395,98.2445,4
"194","1",230.80565,174.8548,55.95085,97.4783,4
"194","2",81.57605,34.56545,47.0106,53.184,4
"194","3",7.78595,2.47095,5.315,4.438,4
"195","1",269.75135,219.97145,49.7799,88.0443,4
"195","2",11.0956,2.69245,8.40315,5.1458,4
"195","3",457.86545,382.6103,75.25515,97.9127,4
"196","1",237.0247,182.4215,54.6032,80.9038,4
"196","2",3.89995,0.6917,3.20825,1.4761,4
"196","3",28.4269,17.8674,10.5595,16.1709,4
"197","1",205.43185,144.6766,60.75525,77.8804,4
"197","2",92.99535,52.45705,40.5383,52.1825,4
"197","3",22.59785,5.11445,17.4834,13.8307,4
"198","1",4.032,0.8815,3.1505,1.6767,4
"198","2",4.09585,0.52675,3.5691,2.5017,4
"199","1",303.43595,239.5971,63.83885,99.2148,4
"199","2",268.3458,189.66035,78.68545,98.5876,4
"199","3",39.80955,17.5324,22.27715,26.4473,4
"2","2",7.96495,2.9573,5.00765,4.2717,4
"2","3",41.98835,21.38555,20.6028,24.5924,4
"20","1",33.03885,15.48035,17.5585,14.9156,4
"20","2",3.7995,1.0985,2.701,2.2342,4
"20","3",1.4019,0.2926,1.1093,0.3305,4
"200","1",2.46055,0.29815,2.1624,1.3789,4
"200","2",309.9863,270.7597,39.2266,99.9974,4
"200","3",13.29735,6.50495,6.7924,6.417,4
"201","1",2.6136,0.73455,1.87905,1.5719,4
"201","2",1.57465,0.61865,0.956,0.8943,4
"201","3",2.3929,0.90705,1.48585,0.9006,4
"202","1",18.9357,2.40365,16.53205,11.6455,4
"202","2",32.46715,2.2088,30.25835,20.9812,4
"202","3",25.92125,11.8619,14.05935,15.1569,4
"203","1",462.70275,362.52795,100.1748,99.7442,4
"203","2",134.7157,38.63615,96.07955,88.5271,4
"203","3",20.686,12.13945,8.54655,11.5351,4
"204","1",2.7514,0.1576,2.5938,1.2657,4
"204","2",26.7183,4.11615,22.60215,17.5577,4
"204","3",3.80515,2.3684,1.43675,2.4267,4
"205","1",119.61095,21.19365,98.4173,76.1199,4
"205","2",7.08505,2.69465,4.3904,4.5538,4
"205","3",253.78855,156.17845,97.6101,96.8994,4
"206","1",161.55185,103.10125,58.4506,98.9203,4
"206","2",94.98955,45.42445,49.5651,62.7621,4
"206","3",344.39655,219.752,124.64455,99.8598,4
"207","1",45.26295,19.5515,25.71145,21.4458,4
"207","2",63.7165,11.6624,52.0541,38.0723,4
"207","3",185.4286,93.9077,91.5209,71.1143,4
"208","1",139.7775,78.705,61.0725,36.5092,4
"208","2",130.37715,107.8202,22.55695,83.0115,4
"208","3",1.437,0.32585,1.11115,0.8009,4
"209","1",137.4219,93.04395,44.37795,44.0471,4
"209","2",19.5835,3.5707,16.0128,10.1158,4
"209","3",4.29985,1.6929,2.60695,2.3369,4
"21","1",448.0872,373.75215,74.33505,99.1722,4
"21","2",161.9241,58.15925,103.76485,98.3868,4
"21","3",30.46635,16.2384,14.22795,19.3776,4
"210","1",65.1175,30.6616,34.4559,26.0296,4
"210","2",31.5579,16.9518,14.6061,16.3785,4
"210","3",38.7036,12.88675,25.81685,24.5685,4
"211","1",38.14635,12.0897,26.05665,18.1055,4
"211","2",28.402,5.53215,22.86985,17.5435,4
"211","3",20.44005,9.9288,10.51125,13.4177,4
"212","1",14.9949,6.4127,8.5822,3.575,4
"212","2",27.78305,3.14005,24.643,16.1361,4
"212","3",185.82735,116.93525,68.8921,80.3162,4
"213","1",179.0148,99.8338,79.181,97.6618,4
"213","2",6.05115,1.2766,4.77455,3.6889,4
"213","3",2.0519,1.1115,0.9404,1.0126,4
"214","2",18.4563,6.2126,12.2437,11.3556,4
"214","3",62.5176,34.5491,27.9685,30.6925,4
"215","1",28.588,8.16205,20.42595,8.9204,4
"215","2",41.31355,8.11705,33.1965,23.5763,4
"215","3",39.60805,22.7284,16.87965,14.1896,4
"216","2",105.00215,49.1066,55.89555,53.6457,4
"216","3",151.9485,81.61805,70.33045,77.137,4
"217","1",3.2626,0.65185,2.61075,1.5546,4
"217","2",123.25445,76.8033,46.45115,79.1021,4
"217","3",17.1134,7.9294,9.184,9.7856,4
"218","1",41.34805,9.3387,32.00935,13.8134,4
"218","2",148.9795,63.11875,85.86075,90.0201,4
"218","3",67.0052,48.7255,18.2797,28.0596,4
"219","1",1.46045,0.16215,1.2983,1.1867,4
"219","2",0.8956,0.0595,0.8361,0.4195,4
"219","3",39.02175,17.27165,21.7501,23.2963,4
"22","2",2.66435,0.70975,1.9546,0.6793,4
"22","3",1.986,0.16365,1.82235,0.9004,4
"220","1",3.39415,1.2958,2.09835,1.6591,4
"220","2",3.08805,0.056,3.03205,1.888,4
"220","3",146.4883,102.2002,44.2881,87.0586,4
"221","1",12.61905,5.7572,6.86185,3.4565,4
"221","2",1.35075,0.12885,1.2219,0.3935,4
"221","3",29.00835,15.26325,13.7451,14.3582,4
"222","1",4.3433,0.1221,4.2212,2.088,4
"222","2",60.24725,16.3355,43.91175,38.5566,4
"223","1",1.2527,0.20925,1.04345,0.5404,4
"223","3",13.36805,2.1859,11.18215,8.2934,4
"224","1",5.08545,0.2314,4.85405,1.2844,4
"224","2",91.8777,16.80135,75.07635,57.7397,4
"224","3",2.09405,0.4611,1.63295,0.8699,4
"225","1",431.4028,374.3708,57.032,99.7117,4
"225","2",153.6789,86.05825,67.62065,99.6562,4
"225","3",159.58335,123.9512,35.63215,96.5858,4
"226","1",285.236,215.52145,69.71455,93.1053,4
"226","2",7.85215,0.1313,7.72085,4.7645,4
"226","3",374.3582,187.06765,187.29055,98.6537,4
"227","1",2.9199,0.4614,2.4585,1.2163,4
"227","2",4.53,0.79025,3.73975,1.8995,4
"227","3",23.13505,8.10355,15.0315,14.4652,4
"228","1",7.5274,2.1015,5.4259,1.9521,4
"228","2",40.96235,6.61095,34.3514,25.7785,4
"228","3",27.34485,11.35005,15.9948,16.6102,4
"229","1",10.67155,2.59,8.08155,4.2134,4
"229","2",38.75045,9.59005,29.1604,22.7425,4
"229","3",32.0104,10.9613,21.0491,19.6857,4
"23","1",498.95075,349.4379,149.51285,95.593,4
"23","3",4.0883,0,4.0883,1.312,4
"230","1",5.28075,1.03815,4.2426,1.4551,4
"230","2",93.0698,32.74355,60.32625,53.4583,4
"230","3",253.6315,156.6152,97.0163,95.9776,4
"231","1",2.3633,0.31045,2.05285,1.158,4
"231","3",287.82975,196.24025,91.5895,99.841,4
"232","1",54.67345,40.84225,13.8312,18.3148,4
"232","2",144.32315,91.3036,53.01955,86.2557,4
"232","3",100.5143,62.1251,38.3892,50.3482,4
"233","1",0.1059,0.0165,0.0894,0.0199,4
"234","1",2.61335,0.81125,1.8021,0.9899,4
"234","2",31.09605,7.06225,24.0338,20.1123,4
"235","1",5.47165,0.748,4.72365,3.3399,4
"236","1",99.49765,47.0358,52.46185,45.2485,4
"236","2",18.3723,5.15675,13.21555,10.6877,4
"236","3",3.63875,0.6812,2.95755,1.9599,4
"237","1",2.89085,0.9825,1.90835,1.7011,4
"238","1",86.66,32.49765,54.16235,54.4137,4
"238","2",3.86525,0.7915,3.07375,1.6863,4
"239","1",25.8845,17.50045,8.38405,11.116,4
"239","2",29.81215,9.8183,19.99385,19.6781,4
"239","3",5.62105,2.48655,3.1345,2.527,4
"24","1",1.7145,0.0606,1.6539,1.081,4
"24","2",197.05865,166.18015,30.8785,98.3822,4
"24","3",194.5086,143.79835,50.71025,56.9509,4
"240","1",167.5404,146.74185,20.79855,99.6578,4
"240","2",1.80845,0.6764,1.13205,0.5015,4
"241","1",0.6324,0.0841,0.5483,0.2061,4
"241","2",5.9457,1.79625,4.14945,3.2674,4
"241","3",47.68615,23.2692,24.41695,31.5893,4
"242","1",553.6209,485.9517,67.6692,99.4179,4
"242","2",196.67965,134.9276,61.75205,98.7901,4
"243","1",11.0209,3.41885,7.60205,4.8376,4
"243","2",45.7524,7.2048,38.5476,29.3762,4
"243","3",196.96585,139.70665,57.2592,97.3955,4
"244","1",6.5103,2.4543,4.056,4.0208,4
"244","2",4.26105,1.91435,2.3467,2.0143,4
"244","3",1.29965,0.2284,1.07125,0.652,4
"245","1",3.10245,0.0604,3.04205,0.9517,4
"245","2",20.7836,2.40885,18.37475,10.5212,4
"245","3",1.0758,0.0407,1.0351,0.284,4
"246","1",374.9487,307.04485,67.90385,98.0834,4
"246","2",2.08525,0.0371,2.04815,1.1115,4
"246","3",52.6368,33.6275,19.0093,31.6607,4
"247","1",16.78255,4.1704,12.61215,4.2668,4
"247","2",236.84745,161.07925,75.7682,99.9369,4
"247","3",395.8925,298.2013,97.6912,94.6453,4
"248","1",5.64485,2.03465,3.6102,2.115,4
"248","2",25.23925,5.86405,19.3752,15.6518,4
"248","3",6.6611,2.11195,4.54915,3.7371,4
"249","1",9.5761,0.9984,8.5777,3.4579,4
"249","2",5.1087,0.7646,4.3441,1.7942,4
