"Genotype","BLUP_Adjusted"
"29",4.77558499317596
"314",4.79212146020834
"201",4.85829429857392
"280",4.86703010154843
"328",4.93177342164275
"162",4.94580660757236
"63",4.98316026586621
"33",4.98763004663472
"119",4.98916094119355
"166",4.99294394564049
"14",4.99633329191222
"244",4.99935703783391
"181",5.01193958784192
"302",5.02664721079734
"326",5.03057969058001
"4",5.0463662917839
"61",5.04815445707426
"262",5.05692336375475
"51",5.06668970396614
"310",5.07046879340123
"258",5.10321505295136
"104",5.11053175402376
"309",5.13781411534488
"186",5.15962835719381
"312",5.16389759621103
"245",5.16830163690188
"305",5.18844825133592
"269",5.20033182044054
"9",5.24040340393025
"53",5.24774615830974
"288",5.24934823850544
"327",5.25290357660493
"37",5.25590027780084
"101",5.26074985673505
"319",5.26785387771056
"72",5.26805079769073
"22",5.26880700469852
"43",5.26978185781607
"219",5.27843139608973
"296",5.28578914509875
"227",5.30432100491858
"274",5.30465404070682
"148",5.30804704653641
"204",5.31817516261197
"20",5.32901868162655
"50",5.33310386126235
"105",5.33981948273628
"116",5.34686644166954
"121",5.35864788508397
"184",5.36275450857668
"8",5.36685244263275
"157",5.37092161475687
"287",5.38163227311013
"140",5.38475860537901
"311",5.38970877844026
"273",5.39797056863499
"260",5.39918304122407
"56",5.40495284297943
"223",5.41231283430015
"31",5.41583796417601
"198",5.42865293743129
"5",5.43958415570588
"248",5.44498904555605
"264",5.44865861694956
"84",5.44882932658401
"117",5.45110263110424
"221",5.45762739699444
"241",5.4617035238313
"301",5.47239866930316
"97",5.49315292385029
"265",5.49827094445825
"45",5.50980128071467
"298",5.54912865165521
"46",5.55339473833831
"66",5.56482052058234
"16",5.56843322258729
"289",5.57841237125349
"70",5.58068953565594
"250",5.58525863553665
"233",5.58978293708572
"M239",5.59363649095411
"12",5.60045723365661
"11",5.60568998088049
"M100",5.61025355036742
"36",5.6157731585575
"308",5.61604212400946
"267",5.64065601847346
"109",5.64258771957167
"300",5.64272526876205
"30",5.64292296781037
"88",5.64930089812126
"185",5.67205662719276
"M26",5.67860118073767
"268",5.70329544873693
"41",5.70602308735089
"32",5.72014529122827
"M244",5.72057534681486
"128",5.72101159150884
"M251",5.72342840146421
"131",5.72347936172552
"156",5.72976741576572
"R90",5.73134428429948
"38",5.73192102295188
"106",5.74377108842334
"239",5.75487660084412
"25",5.76389970941596
"293",5.76582539084185
"188",5.76642356178675
"78",5.7666745877066
"141",5.76791360635115
"M94",5.77325114300727
"237",5.77356711804118
"142",5.77726595620732
"89",5.7863606840373
"253",5.78642423331818
"256",5.78702772177191
"154",5.79113271660504
"224",5.79378276644435
"M147",5.79490421673322
"R239",5.7964408619596
"118",5.79684947943063
"234",5.80140270149445
"144",5.80243933920138
"68",5.80560449491241
"49",5.80917940887088
"124",5.81710937620884
"39",5.81879222797901
"R103",5.83099956104268
"187",5.83468153715706
"M232",5.83572716828922
"R285",5.83846464962066
"13",5.83897912352001
"276",5.84745441467186
"M5",5.85191541522609
"235",5.85897478956641
"R215",5.8733289481078
"R108",5.87429160213267
"129",5.87445049349403
"M108",5.87474063162704
"R127",5.88003335275932
"M326",5.88028891866075
"295",5.89162488857911
"R152",5.89177833972588
"10",5.90720384295483
"228",5.90828549736712
"178",5.9180095978387
"284",5.91913502665344
"R82",5.92290858885069
"R4",5.92763279827113
"M114",5.92864268477525
"87",5.93051155127789
"149",5.93242366332443
"182",5.93712816368002
"90",5.94604177649249
"152",5.95068085050471
"R256",5.95548213454604
"44",5.95610023296941
"M150",5.95656488666757
"R83",5.95825560681319
"R157",5.97675478202651
"26",5.97689473641423
"R79",5.98088268734478
"R54",5.98524163511774
"R195",5.98690115505462
"202",5.989269208999
"229",5.99018574605187
"134",5.99336881406242
"2",6.00701918187533
"114",6.0085840259305
"17",6.01929044859772
"1",6.01983418563331
"R38",6.02417996195575
"M221",6.02527294322394
"R244",6.03155233528301
"220",6.04855178599538
"60",6.05114836800451
"R156",6.05133372504535
"107",6.05145984224422
"159",6.05577054157029
"151",6.06147976699652
"190",6.06495632585199
"R13",6.06686986869631
"189",6.07131642172075
"86",6.07205746101716
"211",6.08271093689728
"236",6.09768885695504
"R318",6.10183187489045
"R240",6.10213500782803
"127",6.10356968863834
"255",6.11166697681236
"222",6.11423203827829
"R241",6.1147007674612
"47",6.11630711599283
"176",6.12535393931616
"R18",6.12909118361111
"R72",6.14203748624178
"R134",6.14616820601258
"272",6.15543394953837
"R37",6.15677272081103
"R33",6.16745903615991
"172",6.17298285681171
"153",6.17559000591779
"282",6.17568318136874
"217",6.19013069203365
"125",6.20368979749639
"M315",6.20580431285698
"7",6.20759328121094
"R237",6.2137441491572
"213",6.21406275385156
"191",6.21638021376663
"313",6.22022044977168
"75",6.22097265029287
"65",6.22571258665706
"138",6.24218645156301
"173",6.24386027951536
"318",6.25128160278099
"168",6.25212878907188
"297",6.25523590728123
"R69",6.26814740064086
"249",6.27772816616439
"238",6.28275551047099
"111",6.2883820040586
"R1",6.2892675588632
"215",6.29800562317277
"R118",6.29921352202517
"209",6.31422942834136
"R165",6.33046354626145
"R248",6.33616390435468
"98",6.34412643702437
"270",6.34902638119375
"214",6.34907042489279
"93",6.3600943347618
"M241",6.36865818242778
"M202",6.37344663601078
"R249",6.3748594669561
"259",6.3776068689505
"292",6.37807049227165
"317",6.39019507632994
"M295",6.39814379958994
"52",6.40700490226142
"82",6.40949755017138
"164",6.4108821389126
"254",6.41488181551587
"R155",6.41521401389614
"62",6.41963848926741
"M175",6.43473338415366
"277",6.43504641805262
"40",6.44289738067631
"48",6.45104601872384
"145",6.46185013273483
"77",6.48493253908453
"210",6.49214566526923
"294",6.50991330348333
"35",6.5365602203647
"169",6.5401888325809
"55",6.54199254969613
"83",6.55397801433362
"120",6.57630483033792
"58",6.57954930409614
"321",6.59761006617424
"281",6.60608130642084
"R197",6.61228689868613
"143",6.61369147775637
"115",6.61389826080774
"160",6.62738882128433
"R219",6.63785821817642
"240",6.63807766938368
"54",6.6392106153558
"71",6.66351654297741
"59",6.66690439592991
"99",6.71690509227748
"M70",6.7224031845057
"320",6.72330363058834
"137",6.7554653447581
"M13",6.76783052291294
"M249",6.77271846887728
"28",6.77603508711608
"73",6.77697188611818
"196",6.7868211919134
"183",6.79016424499496
"136",6.79330515327307
"212",6.79452260143348
"M93",6.79564879584355
"200",6.79942274956097
"304",6.80201654066328
"291",6.81400969663012
"27",6.8144126995112
"170",6.81550988363703
"92",6.81639106847962
"R71",6.82617702803726
"M115",6.83857943734255
"67",6.84298069018318
"252",6.86052550604695
"307",6.87736983749535
"108",6.88018606644846
"M302",6.88961192479684
"64",6.90694430487123
"135",6.91031198176485
"81",6.92812634418592
"243",6.93619415751247
"M166",6.94756226141811
"R178",6.95028063299825
"306",6.95879839129603
"175",6.96229822587626
"158",6.96393968499137
"208",6.97010591157595
"M74",7.00059159828667
"79",7.01782252525437
"155",7.02456012452502
"231",7.03098069128361
"251",7.03283621502387
"34",7.04267848091198
"R17",7.04605019098584
"76",7.04782952893272
"M163",7.0498496625702
"271",7.05157305236206
"M45",7.06330976381604
"R45",7.06553312157555
"150",7.06691311325018
"91",7.07073726350006
"163",7.07766881153202
"171",7.087740407551
"122",7.0879058633077
"133",7.09608093426922
"286",7.10100144944345
"R270",7.12849615301967
"147",7.13550624199277
"M44",7.14183831802238
"M32",7.16541630459798
"M259",7.189308824452
"M82",7.21705920053334
"218",7.22133807338046
"15",7.22326576934929
"19",7.22554659271163
"R123",7.23495148757261
"194",7.24168850469694
"M156",7.25038985821967
"96",7.25286461712528
"192",7.25606837284713
"M42",7.2927780014149
"M159",7.29860508918861
"112",7.31458966774967
"290",7.31886354046346
"230",7.33203061255646
"246",7.35224906028219
"M29",7.37920323132772
"207",7.3801478763338
"197",7.42263121106483
"174",7.42628921751848
"85",7.4358503412431
"261",7.4672200844583
"315",7.46990863093365
"24",7.48209520080398
"123",7.48949691961226
"232",7.49681016498784
"M97",7.49847434213851
"146",7.50602096070912
"205",7.50692637445731
"266",7.52889288816431
"113",7.55227699645553
"216",7.57195952937329
"80",7.57781486992435
"6",7.5937485161312
"303",7.60661617361174
"M279",7.65272819354114
"165",7.65553752081627
"283",7.69911664791362
"263",7.70550633639447
"279",7.71765842453525
"23",7.72152959020613
"100",7.76082744902033
"42",7.77689332486336
"94",7.8126772251322
"M1",7.94881787960041
"285",7.97468592258445
"132",8.05301351226521
"M305",8.10003378944655
"299",8.20254947806313
"M242",8.22419223075257
"161",8.24916685907987
"193",8.27015294278117
"57",8.29407291695136
"74",8.30959672991671
"203",8.36511811524216
"177",8.45284888213888
"179",8.45288360368892
"130",8.46900099434409
"226",8.51004643706848
"316",8.51105283649084
"139",8.53626192557532
"247",8.54634232338314
"21",8.54941130713598
"69",8.57503088184687
"126",8.61379260959665
"199",8.62298361889934
"3",8.69041298339927
"167",8.70577544307321
"206",8.71837038903309
"180",8.72214135186503
"195",8.73297043807082
"103",8.77777360158988
"102",9.00000055496303
"225",9.22309371112242
"257",9.3479688682786
"242",9.38136334199867
"110",10.005337130863
"95",10.3342283892275
