Filename;Genotype;Replicate;DPI;Total_Pixels;Healthy_Perc;Chlorosis_Perc;Necrosis_Perc;Morph_Area;Morph_Perimeter;Major_Axis;Minor_Axis;Aspect_Ratio;Circularity;Solidity
1_R1_1dpi.jpg;1;1;1;170150;97.4805;1.6585;0.6917;169572.5;1678.52;509.33;428.03;1.1899;0.7563;0.995
1_R1_3dpi.jpg;1;1;3;185031;97.0248;1.984;0.8269;184961.5;1779.52;514.9;471.11;1.0929;0.734;0.9941
1_R1_5dpi.jpg;1;1;5;173111;99.7395;0.1808;0.0618;172418.5;1592.66;501.55;448.17;1.1191;0.8542;0.9949
1_R1_8dpi.jpg;1;1;8;185529;99.3974;0.5045;0.0609;184729;2101.03;516;457.82;1.1271;0.5259;0.9832
1_R2_1dpi.jpg;1;2;1;96965;98.8419;0.7704;0.0918;96658;1504.99;489.78;264.83;1.8494;0.5363;0.9844
1_R2_3dpi.jpg;1;2;3;92780;99.765;0.0992;0.0129;92224;1422.1;487.57;253.52;1.9232;0.573;0.9674
1_R2_5dpi.jpg;1;2;5;97482;99.92;0.078;0;96930;1347.96;471.25;274.49;1.7168;0.6704;0.9704
1_R2_8dpi.jpg;1;2;8;92924;41.1455;51.3473;7.4964;92352;1412.04;456.31;270.29;1.6883;0.5821;0.9679
1_R3_1dpi.jpg;1;3;1;162156;99.3352;0.2763;0.3515;161497.5;1592.52;541.03;385.04;1.4051;0.8002;0.9958
1_R3_3dpi.jpg;1;3;3;167573;99.6061;0.2864;0.0734;166873.5;1625.29;544.15;393.46;1.383;0.7938;0.9945
1_R3_5dpi.jpg;1;3;5;162469;99.395;0.4856;0.1163;161707.5;1692.29;541.64;383.59;1.412;0.7096;0.9909
1_R3_8dpi.jpg;1;3;8;167112;96.2845;1.6031;2.092;166463.5;1589.35;538.18;398.47;1.3506;0.8281;0.9965
2_R2_1dpi.JPG;2;2;1;126127;99.9865;0.0032;0.0024;127817.5;1767.16;581.24;280.93;2.069;0.5143;0.9602
2_R2_3dpi.jpg;2;2;3;131186;99.5457;0.2637;0.0427;131256;2019.05;612.35;281.88;2.1724;0.4046;0.9626
2_R2_5dpi.jpg;2;2;5;130470;99.5846;0.1518;0.2238;132652.5;2263.69;592.46;285.85;2.0726;0.3253;0.9587
2_R2_8dpi.jpg;2;2;8;124868;95.7235;2.7317;1.54;125082.5;1871.3;593.58;288.78;2.0555;0.4489;0.9424
2_R3_1dpi.jpg;2;3;1;166191;99.5632;0.3135;0.0909;165481.5;1722.94;491.1;433.49;1.1329;0.7005;0.9898
2_R3_3dpi.jpg;2;3;3;177608;99.3812;0.1841;0.3907;176976;1735.58;518.97;434.53;1.1943;0.7383;0.9708
2_R3_5dpi.jpg;2;3;5;182190;98.5718;0.4814;0.9369;181709.5;1810.65;531.57;440.76;1.206;0.6965;0.9732
2_R3_8dpi.jpg;2;3;8;179189;74.7607;12.4784;12.114;179613;2008.17;536.69;429.32;1.2501;0.5597;0.9737
3_R1_1dpi.jpg;3;1;1;113684;98.2733;1.2737;0.3976;113219;1345.97;399.72;363.32;1.1002;0.7853;0.992
3_R1_3dpi.jpg;3;1;3;128844;96.6362;2.0358;1.2302;128504;1715.96;422.85;394.86;1.0709;0.5484;0.9864
3_R1_5dpi.jpg;3;1;5;123064;94.4728;2.6385;2.8709;122477;1389.31;416.83;375.69;1.1095;0.7974;0.974
3_R1_8dpi.jpg;3;1;8;120911;35.3855;38.8162;25.6164;120985;1587.82;420.96;376.78;1.1173;0.603;0.9811
3_R2_1dpi.jpg;3;2;1;113489;99.5163;0.3481;0.0326;112840.5;1582.95;407.84;360.45;1.1315;0.5659;0.9728
3_R2_3dpi.jpg;3;2;3;111278;98.9396;0.0845;0.1797;111595;1500.54;414.32;354.51;1.1687;0.6228;0.9785
3_R2_5dpi.jpg;3;2;5;120984;80.085;6.0834;13.7291;120457;1409.37;424.92;369.31;1.1506;0.7621;0.9762
3_R2_8dpi.jpg;3;2;8;108605;22.2494;28.0696;49.6754;112336;1340.6;419.7;342.65;1.2249;0.7855;0.9889
3_R3_1dpi.jpg;3;3;1;114647;99.0807;0.6219;0.2564;114000.5;1809.34;418.61;334.38;1.2519;0.4376;0.9597
3_R3_3dpi.jpg;3;3;3;128390;93.6101;5.0183;1.2454;128186.5;1462.3;466.73;361.4;1.2914;0.7533;0.9703
3_R3_5dpi.jpg;3;3;5;118872;50.2843;41.7735;7.9346;122893.5;1558.95;462.51;350.3;1.3203;0.6354;0.9624
3_R3_8dpi.jpg;3;3;8;119540;0.0218;0.7504;98.6122;119639;2084.72;461.96;349.57;1.3215;0.3459;0.9515
4_R1_1dpi.jpg;4;1;1;142816;99.1717;0.4978;0.2647;142177.5;1603.11;452.27;404.17;1.119;0.6952;0.9888
4_R1_3dpi.jpg;4;1;3;147590;98.1361;1.2704;0.4682;147077;1767.01;441.92;416.57;1.0609;0.5919;0.9892
4_R1_5dpi.jpg;4;1;5;137575;99.771;0.1817;0.0138;136956;1455.27;438.33;399.16;1.0981;0.8126;0.9908
